Lever_position,Ship_speed_knots,Turbine_shaft_torque_kNm,Turbine_rpm,Generator_rpm,Starboard_propeller_torque_kN,Port_propeller_torque_kN,Turbine_exit_temperature_C,Compressor_inlet_temperature_C,Compressor_outlet_temperature_C,Turbine_exit_pressure_bar,Compressor_inlet_pressure_bar,Compressor_outlet_pressure_bar,Turbine_exhaust_gas_pressure_bar,Turbine_injecton_control_%,Fuel_mass_flow_kg/s,GT_kMc,GT_kMt
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,787.0,4.48,1.0,22.4,1.05,91.1,1.8,0.95,0.99
4.16,12.0,14700.0,1550.0,7820.0,114.0,114.0,648.0,288.0,611.0,1.65,1.0,8.87,1.02,17.5,0.35,0.95,0.99
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,784.0,288.0,673.0,2.5,1.0,13.2,1.03,34.7,0.69,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,839.0,288.0,697.0,2.95,1.0,15.4,1.04,44.7,0.88,0.95,0.99
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,937.0,288.0,739.0,3.56,1.0,18.3,1.04,61.0,1.21,0.95,0.99
1.14,3.0,2640.0,1310.0,6690.0,5.3,5.3,551.0,288.0,561.0,1.18,1.0,6.35,1.02,32.6,0.2,0.95,0.99
2.09,6.0,5610.0,1350.0,6850.0,23.0,23.0,594.0,288.0,574.0,1.28,1.0,6.92,1.02,22.8,0.25,0.95,0.99
3.14,9.0,8380.0,1390.0,7150.0,60.4,60.4,593.0,288.0,585.0,1.39,1.0,7.46,1.02,12.5,0.25,0.95,0.99
6.18,18.0,29800.0,2310.0,8840.0,246.0,246.0,783.0,288.0,673.0,2.5,1.0,13.1,1.03,34.6,0.69,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,838.0,288.0,697.0,2.95,1.0,15.4,1.04,44.6,0.88,0.95,0.99
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,787.0,4.48,1.0,22.4,1.05,90.9,1.8,0.95,0.99
1.14,3.0,1750.0,1310.0,6700.0,5.45,5.45,522.0,288.0,556.0,1.15,1.0,6.17,1.02,29.3,0.17,0.95,0.99
3.14,9.0,8380.0,1390.0,7160.0,60.4,60.4,592.0,288.0,585.0,1.39,1.0,7.45,1.02,12.5,0.25,0.95,0.99
4.16,12.0,14700.0,1550.0,7830.0,114.0,114.0,646.0,288.0,611.0,1.65,1.0,8.85,1.02,17.4,0.34,0.95,0.99
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,715.0,288.0,643.0,2.07,1.0,11.0,1.03,25.4,0.5,0.95,0.99
6.18,18.0,29800.0,2310.0,8850.0,246.0,246.0,782.0,288.0,673.0,2.5,1.0,13.1,1.03,34.5,0.68,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,837.0,288.0,697.0,2.95,1.0,15.4,1.04,44.5,0.88,0.95,0.99
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,787.0,4.48,1.0,22.4,1.05,90.8,1.8,0.95,0.99
3.14,9.0,8380.0,1390.0,7160.0,60.4,60.4,591.0,288.0,585.0,1.39,1.0,7.44,1.02,12.5,0.25,0.95,0.99
4.16,12.0,14700.0,1550.0,7830.0,114.0,114.0,646.0,288.0,611.0,1.65,1.0,8.85,1.02,17.3,0.34,0.95,0.99
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,714.0,288.0,642.0,2.07,1.0,11.0,1.03,25.4,0.5,0.95,0.99
6.18,18.0,29800.0,2310.0,8850.0,246.0,246.0,781.0,288.0,672.0,2.5,1.0,13.1,1.03,34.5,0.68,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,836.0,288.0,697.0,2.95,1.0,15.4,1.04,44.4,0.88,0.95,0.99
8.21,24.0,51000.0,3090.0,9330.0,438.0,438.0,934.0,288.0,739.0,3.56,1.0,18.3,1.04,60.7,1.2,0.95,0.99
2.09,6.0,5180.0,1350.0,6860.0,22.6,22.6,580.0,288.0,572.0,1.27,1.0,6.82,1.02,23.2,0.24,0.95,0.99
3.14,9.0,8380.0,1390.0,7160.0,60.4,60.4,590.0,288.0,585.0,1.39,1.0,7.44,1.02,12.4,0.25,0.95,0.99
4.16,12.0,14700.0,1550.0,7830.0,114.0,114.0,645.0,288.0,611.0,1.65,1.0,8.84,1.02,17.3,0.34,0.95,0.99
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,713.0,288.0,642.0,2.07,1.0,11.0,1.03,25.3,0.5,0.95,0.99
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,835.0,288.0,697.0,2.95,1.0,15.4,1.04,44.3,0.88,0.95,0.99
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,786.0,4.47,1.0,22.3,1.05,90.6,1.79,0.95,0.99
1.14,3.0,314.0,1350.0,6730.0,7.55,7.55,451.0,288.0,548.0,1.1,1.0,5.84,1.02,4.57,0.07,0.95,1.0
2.09,6.0,5230.0,1350.0,6860.0,22.7,22.7,581.0,288.0,572.0,1.27,1.0,6.83,1.02,23.2,0.24,0.95,1.0
4.16,12.0,14700.0,1550.0,7830.0,114.0,114.0,644.0,288.0,611.0,1.65,1.0,8.83,1.02,17.3,0.34,0.95,1.0
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,712.0,288.0,642.0,2.07,1.0,11.0,1.03,25.3,0.5,0.95,1.0
6.18,18.0,29800.0,2310.0,8850.0,246.0,246.0,778.0,288.0,672.0,2.49,1.0,13.1,1.03,34.3,0.68,0.95,1.0
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,786.0,4.47,1.0,22.3,1.05,90.5,1.79,0.95,1.0
1.14,3.0,497.0,1360.0,6740.0,8.11,8.11,455.0,288.0,549.0,1.1,1.0,5.88,1.02,0.0,0.07,0.95,1.0
2.09,6.0,4830.0,1340.0,6860.0,22.4,22.4,569.0,288.0,570.0,1.26,1.0,6.75,1.02,23.2,0.22,0.95,1.0
3.14,9.0,8380.0,1390.0,7170.0,60.4,60.4,589.0,288.0,584.0,1.39,1.0,7.42,1.02,12.4,0.25,0.95,1.0
4.16,12.0,14700.0,1550.0,7840.0,114.0,114.0,643.0,288.0,610.0,1.65,1.0,8.82,1.02,17.2,0.34,0.95,1.0
6.18,18.0,29800.0,2310.0,8850.0,246.0,246.0,777.0,288.0,672.0,2.49,1.0,13.1,1.03,34.3,0.68,0.95,1.0
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,833.0,288.0,696.0,2.95,1.0,15.3,1.04,44.2,0.88,0.95,1.0
8.21,24.0,51000.0,3090.0,9330.0,438.0,438.0,931.0,288.0,738.0,3.56,1.0,18.2,1.04,60.4,1.2,0.95,1.0
9.3,27.0,72800.0,3560.0,9790.0,645.0,645.0,1100.0,288.0,786.0,4.47,1.0,22.2,1.05,90.4,1.79,0.95,1.0
2.09,6.0,4800.0,1340.0,6870.0,22.5,22.5,567.0,288.0,570.0,1.26,1.0,6.74,1.02,23.1,0.22,0.95,1.0
3.14,9.0,8380.0,1390.0,7170.0,60.4,60.4,588.0,288.0,584.0,1.39,1.0,7.42,1.02,12.3,0.24,0.95,1.0
5.14,15.0,21600.0,1920.0,8510.0,175.0,175.0,710.0,288.0,642.0,2.07,1.0,10.9,1.03,25.1,0.5,0.95,1.0
8.21,24.0,51000.0,3090.0,9330.0,438.0,438.0,930.0,288.0,738.0,3.56,1.0,18.2,1.04,60.3,1.19,0.95,1.0
9.3,27.0,72800.0,3560.0,9800.0,645.0,645.0,1100.0,288.0,786.0,4.47,1.0,22.2,1.05,90.3,1.79,0.95,1.0
1.14,3.0,874.0,1380.0,6750.0,9.02,9.02,464.0,288.0,551.0,1.12,1.0,5.96,1.02,0.0,0.08,0.95,1.0
2.09,6.0,4770.0,1340.0,6870.0,22.4,22.4,566.0,288.0,569.0,1.26,1.0,6.73,1.02,23.1,0.22,0.95,1.0
3.14,9.0,8380.0,1390.0,7170.0,60.4,60.4,587.0,288.0,584.0,1.39,1.0,7.41,1.02,12.3,0.24,0.95,1.0
5.14,15.0,21600.0,1920.0,8520.0,175.0,175.0,709.0,288.0,641.0,2.07,1.0,10.9,1.03,25.1,0.5,0.95,1.0
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,831.0,288.0,696.0,2.95,1.0,15.3,1.04,44.0,0.87,0.95,1.0
8.21,24.0,51000.0,3090.0,9330.0,438.0,438.0,929.0,288.0,738.0,3.56,1.0,18.1,1.04,60.2,1.19,0.95,1.0
9.3,27.0,72800.0,3560.0,9800.0,645.0,645.0,1100.0,288.0,786.0,4.47,1.0,22.2,1.05,90.2,1.79,0.95,1.0
2.09,6.0,4440.0,1340.0,6870.0,22.4,22.4,556.0,288.0,568.0,1.25,1.0,6.66,1.02,22.7,0.21,0.95,1.0
1.14,3.0,1110.0,1380.0,6760.0,9.52,9.52,470.0,288.0,552.0,1.13,1.0,6.0,1.02,0.0,0.09,0.95,1.0
2.09,6.0,4180.0,1340.0,6870.0,22.5,22.5,548.0,288.0,567.0,1.24,1.0,6.61,1.02,22.4,0.2,0.95,1.0
3.14,9.0,8380.0,1390.0,7180.0,60.4,60.4,586.0,288.0,584.0,1.39,1.0,7.39,1.02,12.2,0.24,0.95,1.0
5.14,15.0,21600.0,1920.0,8520.0,175.0,175.0,707.0,288.0,641.0,2.07,1.0,10.9,1.03,25.0,0.5,0.95,1.0
7.15,21.0,39000.0,2680.0,9150.0,332.0,332.0,829.0,288.0,696.0,2.95,1.0,15.3,1.04,43.9,0.87,0.95,1.0
1.14,3.0,396.0,1330.0,6660.0,6.59,6.59,478.0,288.0,551.0,1.1,1.0,5.98,1.02,17.2,0.11,0.95,0.98
3.14,9.0,8380.0,1390.0,7110.0,60.4,60.4,606.0,288.0,587.0,1.39,1.0,7.58,1.02,13.1,0.26,0.95,0.98
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,661.0,288.0,614.0,1.66,1.0,9.01,1.02,18.1,0.36,0.95,0.98
5.14,15.0,21600.0,1920.0,8490.0,175.0,175.0,731.0,288.0,645.0,2.08,1.0,11.2,1.03,26.3,0.52,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,800.0,288.0,676.0,2.5,1.0,13.4,1.03,35.7,0.71,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,789.0,4.5,1.0,22.8,1.05,92.5,1.83,0.95,0.98
1.14,3.0,414.0,1360.0,6680.0,8.01,8.01,464.0,288.0,551.0,1.1,1.0,5.97,1.02,2.85,0.08,0.95,0.98
2.09,6.0,6910.0,1370.0,6820.0,26.6,26.6,635.0,288.0,581.0,1.33,1.0,7.26,1.02,15.2,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7110.0,60.4,60.4,605.0,288.0,587.0,1.39,1.0,7.57,1.02,13.0,0.26,0.95,0.98
4.16,12.0,14700.0,1550.0,7790.0,114.0,114.0,660.0,288.0,613.0,1.66,1.0,9.0,1.02,18.0,0.36,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,799.0,288.0,676.0,2.5,1.0,13.3,1.03,35.7,0.71,0.95,0.98
1.14,3.0,658.0,1370.0,6690.0,8.62,8.62,470.0,288.0,552.0,1.11,1.0,6.03,1.02,0.0,0.09,0.95,0.98
2.09,6.0,6840.0,1360.0,6820.0,26.0,26.0,633.0,288.0,580.0,1.32,1.0,7.24,1.02,16.9,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7110.0,60.4,60.4,604.0,288.0,587.0,1.39,1.0,7.56,1.02,13.0,0.26,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,798.0,288.0,676.0,2.5,1.0,13.3,1.03,35.6,0.71,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,852.0,288.0,699.0,2.96,1.0,15.6,1.04,45.7,0.9,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,949.0,288.0,741.0,3.58,1.0,18.6,1.04,62.2,1.23,0.95,0.98
2.09,6.0,6810.0,1360.0,6830.0,25.9,25.9,632.0,288.0,580.0,1.32,1.0,7.22,1.02,16.8,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,603.0,288.0,587.0,1.39,1.0,7.55,1.02,13.0,0.26,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,728.0,288.0,645.0,2.08,1.0,11.2,1.03,26.2,0.52,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,796.0,288.0,675.0,2.5,1.0,13.3,1.03,35.5,0.7,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,851.0,288.0,699.0,2.96,1.0,15.6,1.04,45.6,0.9,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,788.0,4.5,1.0,22.7,1.05,92.2,1.82,0.95,0.98
1.14,3.0,1550.0,1400.0,6720.0,10.3,10.3,496.0,288.0,557.0,1.15,1.0,6.23,1.02,0.0,0.11,0.95,0.98
2.09,6.0,6800.0,1360.0,6830.0,25.8,25.8,631.0,288.0,580.0,1.32,1.0,7.21,1.02,17.1,0.29,0.95,0.98
3.14,9.0,8380.0,1390.0,7120.0,60.4,60.4,602.0,288.0,587.0,1.39,1.0,7.55,1.02,12.9,0.26,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,727.0,288.0,645.0,2.08,1.0,11.2,1.03,26.1,0.52,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,850.0,288.0,699.0,2.96,1.0,15.6,1.04,45.5,0.9,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.7,1.05,92.0,1.82,0.95,0.98
2.09,6.0,6680.0,1360.0,6830.0,25.3,25.3,628.0,288.0,579.0,1.32,1.0,7.19,1.02,18.4,0.28,0.95,0.98
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,657.0,288.0,613.0,1.66,1.0,8.96,1.02,17.9,0.35,0.95,0.98
7.15,21.0,39000.0,2680.0,9130.0,332.0,332.0,849.0,288.0,699.0,2.96,1.0,15.6,1.04,45.4,0.9,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,946.0,288.0,741.0,3.57,1.0,18.5,1.04,61.9,1.23,0.95,0.98
4.16,12.0,14700.0,1550.0,7800.0,114.0,114.0,656.0,288.0,613.0,1.66,1.0,8.95,1.02,17.8,0.35,0.95,0.98
6.18,18.0,29800.0,2310.0,8830.0,246.0,246.0,793.0,288.0,675.0,2.5,1.0,13.3,1.03,35.3,0.7,0.95,0.98
8.21,24.0,51000.0,3090.0,9320.0,438.0,438.0,945.0,288.0,740.0,3.57,1.0,18.5,1.04,61.8,1.22,0.95,0.98
9.3,27.0,72800.0,3560.0,9780.0,645.0,645.0,1110.0,288.0,788.0,4.49,1.0,22.7,1.05,91.8,1.82,0.95,0.98
2.09,6.0,6610.0,1360.0,6830.0,25.1,25.1,624.0,288.0,579.0,1.32,1.0,7.16,1.02,18.9,0.28,0.95,0.98
5.14,15.0,21600.0,1920.0,8500.0,175.0,175.0,724.0,288.0,644.0,2.08,1.0,11.1,1.03,26.0,0.51,0.95,0.98
7.15,21.0,39000.0,2680.0,9140.0,332.0,332.0,847.0,288.0,698.0,2.96,1.0,15.6,1.04,45.3,0.9,0.95,0.98
