,Turbine_exit_pressure_bar,Turbine_exit_temperature_C,Ship_speed_knots,output_power
284,3.58,950.0,24.0,16502.78620930718
285,1.32,632.0,6.0,967.0241066769862
286,1.66,659.0,12.0,2386.039620401448
287,2.08,728.0,15.0,4342.937684322529
288,2.96,851.0,21.0,10945.308805106837
289,3.58,949.0,24.0,16502.78620930718
290,4.5,1110.0,27.0,27140.00949485198
291,1.12,478.0,3.0,134.25282045850622
292,1.32,629.0,6.0,954.2064086503398
293,1.66,658.0,12.0,2386.039620401448
294,2.08,727.0,15.0,4342.937684322529
295,2.5,796.0,18.0,7208.698502927139
296,2.96,850.0,21.0,10945.308805106837
297,3.58,948.0,24.0,16502.78620930718
298,4.5,1110.0,27.0,27140.00949485198
299,1.32,627.0,6.0,944.2370879629484
300,1.39,602.0,9.0,1219.7966515848211
301,1.66,657.0,12.0,2386.039620401448
302,2.5,795.0,18.0,7208.698502927139
303,3.57,947.0,24.0,16502.78620930718
304,4.5,1110.0,27.0,27140.00949485198
305,1.39,601.0,9.0,1219.7966515848211
306,1.66,656.0,12.0,2386.039620401448
307,2.5,794.0,18.0,7208.698502927139
308,2.96,848.0,21.0,10945.308805106837
309,3.57,946.0,24.0,16502.78620930718
310,1.18,515.0,3.0,326.31722892837183
311,1.31,620.0,6.0,912.9049372311462
312,1.39,600.0,9.0,1219.7966515848211
313,1.66,655.0,12.0,2386.039620401448
314,3.57,945.0,24.0,16502.78620930718
315,4.49,1110.0,27.0,27140.00949485198
316,1.31,620.0,6.0,917.1775032400282
317,1.39,599.0,9.0,1219.7966515848211
318,2.08,723.0,15.0,4342.937684322529
319,2.5,791.0,18.0,7208.698502927139
320,4.49,1110.0,27.0,27140.00949485198
321,1.23,555.0,3.0,532.3533471263024
322,1.3,614.0,6.0,879.3317837397832
323,1.39,598.0,9.0,1219.7966515848211
324,1.66,653.0,12.0,2386.039620401448
325,2.08,722.0,15.0,4342.937684322529
326,3.57,942.0,24.0,16502.78620930718
327,4.49,1110.0,27.0,27140.00949485198
328,1.26,581.0,3.0,661.7241326011301
329,1.3,611.0,6.0,862.3671834103982
330,1.66,652.0,12.0,2386.039620401448
331,2.5,788.0,18.0,7208.698502927139
332,2.96,843.0,21.0,10945.308805106837
333,4.49,1100.0,27.0,27140.00949485198
334,1.39,596.0,9.0,1219.7966515848211
335,2.08,720.0,15.0,4342.937684322529
336,2.96,842.0,21.0,10945.308805106837
337,1.29,599.0,6.0,808.6459490340127
338,1.39,595.0,9.0,1219.7966515848211
339,1.66,650.0,12.0,2386.039620401448
340,2.08,719.0,15.0,4342.937684322529
341,2.5,786.0,18.0,7208.698502927139
342,2.96,841.0,21.0,10945.308805106837
343,4.49,1100.0,27.0,27140.00949485198
344,1.28,589.0,6.0,757.7521480458581
345,2.96,840.0,21.0,10945.308805106837
346,3.57,937.0,24.0,16502.78620930718
347,1.28,639.0,3.0,818.3220544070692
348,2.5,784.0,18.0,7208.698502927139
349,4.48,1100.0,27.0,27140.00949485198
350,1.27,587.0,6.0,754.9247146576274
351,2.5,783.0,18.0,7208.698502927139
352,3.56,935.0,24.0,16502.78620930718
353,4.48,1100.0,27.0,27140.00949485198
354,1.22,590.0,3.0,555.5906607873548
355,1.66,646.0,12.0,2386.039620401448
356,2.08,715.0,15.0,4342.937684322529
357,1.17,542.0,3.0,327.86708130414274
358,1.26,573.0,6.0,683.3801779598757
359,1.39,591.0,9.0,1219.7966515848211
360,2.07,714.0,15.0,4342.937684322529
361,2.95,836.0,21.0,10945.308805106837
362,4.48,1100.0,27.0,27140.00949485198
363,1.39,590.0,9.0,1219.7966515848211
364,1.65,645.0,12.0,2386.039620401448
365,2.07,713.0,15.0,4342.937684322529
366,2.95,835.0,21.0,10945.308805106837
367,3.56,932.0,24.0,16502.78620930718
368,4.48,1100.0,27.0,27140.00949485198
369,1.1,460.0,3.0,43.03667776152658
370,1.39,590.0,9.0,1219.7966515848211
371,1.65,644.0,12.0,2386.039620401448
372,4.48,1100.0,27.0,27140.00949485198
373,1.09,454.0,3.0,35.64241585252741
374,1.25,562.0,6.0,639.879591683169
375,2.5,777.0,18.0,7208.698502927139
376,2.95,833.0,21.0,10945.308805106837
377,4.48,1100.0,27.0,27140.00949485198
378,1.11,456.0,3.0,80.60907870090932
379,1.24,551.0,6.0,589.3627818134453
380,1.39,588.0,9.0,1219.7966515848211
381,2.07,710.0,15.0,4342.937684322529
382,2.5,776.0,18.0,7208.698502927139
383,3.56,929.0,24.0,16502.78620930718
384,1.24,549.0,6.0,582.3465582204279
385,1.39,587.0,9.0,1219.7966515848211
386,1.65,641.0,12.0,2386.039620401448
387,2.49,775.0,18.0,7208.698502927139
388,2.95,831.0,21.0,10945.308805106837
389,3.56,928.0,24.0,16502.78620930718
390,4.47,1090.0,27.0,27140.00949485198
391,1.65,640.0,12.0,2386.039620401448
392,2.07,708.0,15.0,4342.937684322529
393,2.49,774.0,18.0,7208.698502927139
394,2.95,830.0,21.0,10945.308805106837
395,3.56,927.0,24.0,16502.78620930718
396,4.47,1090.0,27.0,27140.00949485198
397,1.12,465.0,3.0,136.85405917567857
398,2.49,773.0,18.0,7208.698502927139
399,3.56,926.0,24.0,16502.78620930718
400,1.14,475.0,3.0,189.2285975012252
401,2.07,706.0,15.0,4342.937684322529
402,2.95,828.0,21.0,10945.308805106837
403,3.56,925.0,24.0,16502.78620930718
404,4.47,1090.0,27.0,27140.00949485198
405,1.13,517.0,3.0,183.8460020880747
406,1.39,605.0,9.0,1219.7966515848211
407,1.66,660.0,12.0,2386.039620401448
408,2.97,853.0,21.0,10945.308805106837
409,3.58,950.0,24.0,16502.78620930718
410,4.5,1110.0,27.0,27140.00949485198
411,1.1,468.0,3.0,39.852150008337716
412,1.66,659.0,12.0,2386.039620401448
413,2.5,798.0,18.0,7208.698502927139
414,2.97,852.0,21.0,10945.308805106837
415,1.1,464.0,3.0,65.37025993589643
416,1.32,630.0,6.0,958.4789746592221
417,1.39,603.0,9.0,1219.7966515848211
418,1.66,658.0,12.0,2386.039620401448
419,2.08,728.0,15.0,4342.937684322529
420,4.5,1110.0,27.0,27140.00949485198
421,1.39,602.0,9.0,1219.7966515848211
422,1.66,657.0,12.0,2386.039620401448
423,2.08,727.0,15.0,4342.937684322529
424,2.5,795.0,18.0,7208.698502927139
425,3.58,947.0,24.0,16502.78620930718
426,1.13,481.0,3.0,154.6291904096896
427,1.32,627.0,6.0,945.6612766325757
428,1.39,601.0,9.0,1219.7966515848211
429,1.66,656.0,12.0,2386.039620401448
430,2.5,794.0,18.0,7208.698502927139
431,2.96,849.0,21.0,10945.308805106837
432,3.58,946.0,24.0,16502.78620930718
433,4.5,1110.0,27.0,27140.00949485198
434,1.14,488.0,3.0,196.50662048204157
435,1.31,621.0,6.0,911.4807485615186
436,1.39,600.0,9.0,1219.7966515848211
437,1.66,656.0,12.0,2386.039620401448
438,2.08,725.0,15.0,4342.937684322529
439,2.96,847.0,21.0,10945.308805106837
440,3.57,945.0,24.0,16502.78620930718
441,4.5,1110.0,27.0,27140.00949485198
442,1.3,615.0,6.0,873.6769169633214
443,1.39,600.0,9.0,1219.7966515848211
444,2.08,724.0,15.0,4342.937684322529
445,2.5,792.0,18.0,7208.698502927139
446,3.57,944.0,24.0,16502.78620930718
447,1.2,527.0,3.0,389.8088164574215
448,1.3,614.0,6.0,876.5043503515523
449,2.08,723.0,15.0,4342.937684322529
450,2.5,791.0,18.0,7208.698502927139
451,2.96,845.0,21.0,10945.308805106837
452,3.57,943.0,24.0,16502.78620930718
453,4.49,1110.0,27.0,27140.00949485198
454,1.22,548.0,3.0,501.1259161496199
455,1.31,616.0,6.0,894.8826673750526
456,1.39,598.0,9.0,1219.7966515848211
457,1.66,653.0,12.0,2386.039620401448
458,2.08,722.0,15.0,4342.937684322529
459,2.96,844.0,21.0,10945.308805106837
460,3.57,942.0,24.0,16502.78620930718
461,1.26,580.0,3.0,661.7241326011301
462,1.66,652.0,12.0,2386.039620401448
463,2.08,721.0,15.0,4342.937684322529
464,2.96,843.0,21.0,10945.308805106837
465,3.57,941.0,24.0,16502.78620930718
466,4.49,1100.0,27.0,27140.00949485198
467,1.66,651.0,12.0,2386.039620401448
468,2.08,720.0,15.0,4342.937684322529
469,3.57,940.0,24.0,16502.78620930718
470,4.49,1100.0,27.0,27140.00949485198
471,1.29,599.0,6.0,808.6459490340127
472,2.5,787.0,18.0,7208.698502927139
473,3.57,939.0,24.0,16502.78620930718
474,4.49,1100.0,27.0,27140.00949485198
475,1.33,649.0,3.0,1005.8227759488202
476,1.39,595.0,9.0,1219.7966515848211
477,1.66,649.0,12.0,2386.039620401448
478,2.5,785.0,18.0,7208.698502927139
479,2.96,840.0,21.0,10945.308805106837
480,3.57,938.0,24.0,16502.78620930718
481,1.33,668.0,3.0,1064.5181986933892
482,1.27,584.0,6.0,735.1326809400116
483,1.66,648.0,12.0,2386.039620401448
484,2.96,839.0,21.0,10945.308805106837
485,4.49,1100.0,27.0,27140.00949485198
486,1.31,663.0,3.0,978.0615688665985
487,1.27,586.0,6.0,746.4424144929349
488,1.39,593.0,9.0,1219.7966515848211
489,2.08,716.0,15.0,4342.937684322529
490,2.5,783.0,18.0,7208.698502927139
491,2.96,838.0,21.0,10945.308805106837
492,4.48,1100.0,27.0,27140.00949485198
493,1.28,637.0,3.0,810.0282498015922
494,1.39,592.0,9.0,1219.7966515848211
495,1.66,647.0,12.0,2386.039620401448
496,2.5,782.0,18.0,7208.698502927139
497,3.57,935.0,24.0,16502.78620930718
498,4.48,1100.0,27.0,27140.00949485198
499,1.24,603.0,3.0,622.8102715986644
500,1.26,569.0,6.0,662.3315071808241
501,1.66,646.0,12.0,2386.039620401448
502,2.5,781.0,18.0,7208.698502927139
503,3.56,934.0,24.0,16502.78620930718
504,4.48,1100.0,27.0,27140.00949485198
505,1.25,562.0,6.0,632.8633680901519
506,1.39,591.0,9.0,1219.7966515848211
507,1.66,645.0,12.0,2386.039620401448
508,2.96,835.0,21.0,10945.308805106837
509,3.56,933.0,24.0,16502.78620930718
510,1.25,560.0,6.0,625.8471444971348
511,1.39,590.0,9.0,1219.7966515848211
512,1.65,644.0,12.0,2386.039620401448
513,2.5,779.0,18.0,7208.698502927139
514,2.96,834.0,21.0,10945.308805106837
515,3.56,932.0,24.0,16502.78620930718
516,1.1,471.0,3.0,70.6355692233129
517,1.24,549.0,6.0,578.2101278932014
518,1.39,589.0,9.0,1219.7966515848211
519,2.5,778.0,18.0,7208.698502927139
520,2.95,833.0,21.0,10945.308805106837
521,3.56,931.0,24.0,16502.78620930718
522,4.48,1100.0,27.0,27140.00949485198
523,1.39,588.0,9.0,1219.7966515848211
524,1.65,642.0,12.0,2386.039620401448
525,2.07,710.0,15.0,4342.937684322529
526,2.5,777.0,18.0,7208.698502927139
527,3.56,930.0,24.0,16502.78620930718
528,4.48,1090.0,27.0,27140.00949485198
529,1.1,451.0,3.0,50.0455709716854
530,1.39,588.0,9.0,1219.7966515848211
531,1.65,642.0,12.0,2386.039620401448
532,2.07,709.0,15.0,4342.937684322529
533,2.95,831.0,21.0,10945.308805106837
534,4.48,1090.0,27.0,27140.00949485198
535,1.65,641.0,12.0,2386.039620401448
536,2.07,708.0,15.0,4342.937684322529
537,2.95,830.0,21.0,10945.308805106837
538,4.48,1090.0,27.0,27140.00949485198
539,1.12,464.0,3.0,130.4954756448128
540,1.23,537.0,6.0,534.3849103756238
541,1.39,586.0,9.0,1219.7966515848211
542,2.07,708.0,15.0,4342.937684322529
543,2.95,829.0,21.0,10945.308805106837
544,3.56,927.0,24.0,16502.78620930718
545,1.13,471.0,3.0,166.19025137490004
546,1.39,585.0,9.0,1219.7966515848211
547,1.65,639.0,12.0,2386.039620401448
548,3.56,926.0,24.0,16502.78620930718
549,1.14,473.0,3.0,184.86178371273536
550,1.22,525.0,6.0,489.1459761639308
551,1.39,584.0,9.0,1219.7966515848211
552,2.07,706.0,15.0,4342.937684322529
553,3.56,925.0,24.0,16502.78620930718
554,4.47,1090.0,27.0,27140.00949485198
555,1.16,539.0,3.0,267.50661445317087
556,1.32,633.0,6.0,964.1757293377315
557,1.39,604.0,9.0,1219.7966515848211
558,1.66,660.0,12.0,2386.039620401448
559,2.5,798.0,18.0,7208.698502927139
560,1.12,501.0,3.0,131.18034284329536
561,1.32,632.0,6.0,969.872484016241
562,1.66,659.0,12.0,2386.039620401448
563,2.08,728.0,15.0,4342.937684322529
564,2.5,797.0,18.0,7208.698502927139
565,4.5,1110.0,27.0,27140.00949485198
566,3.58,947.0,24.0,16502.78620930718
567,1.66,657.0,12.0,2386.039620401448
568,2.08,726.0,15.0,4342.937684322529
569,2.5,795.0,18.0,7208.698502927139
570,3.58,946.0,24.0,16502.78620930718
571,1.13,478.0,3.0,142.3455631341535
572,1.31,622.0,6.0,920.025880579283
573,1.39,601.0,9.0,1219.7966515848211
574,1.66,656.0,12.0,2386.039620401448
575,2.96,848.0,21.0,10945.308805106837
576,3.58,945.0,24.0,16502.78620930718
577,4.5,1110.0,27.0,27140.00949485198
578,1.14,483.0,3.0,173.21694694342924
579,1.3,616.0,6.0,880.7455004338985
580,1.39,600.0,9.0,1219.7966515848211
581,1.66,655.0,12.0,2386.039620401448
582,2.5,793.0,18.0,7208.698502927139
583,3.58,944.0,24.0,16502.78620930718
584,1.16,498.0,3.0,249.23301718479024
585,1.29,605.0,6.0,822.7831159751668
586,1.39,599.0,9.0,1219.7966515848211
587,1.66,654.0,12.0,2386.039620401448
588,2.08,723.0,15.0,4342.937684322529
589,3.57,943.0,24.0,16502.78620930718
590,4.5,1110.0,27.0,27140.00949485198
591,1.19,520.0,3.0,357.3247484193031
592,1.3,608.0,6.0,842.5751496927826
593,1.39,598.0,9.0,1219.7966515848211
594,1.66,653.0,12.0,2386.039620401448
595,2.5,790.0,18.0,7208.698502927139
596,4.49,1100.0,27.0,27140.00949485198
597,1.21,538.0,3.0,452.0542389005473
598,1.39,598.0,9.0,1219.7966515848211
599,1.66,652.0,12.0,2386.039620401448
600,2.5,789.0,18.0,7208.698502927139
601,2.96,844.0,21.0,10945.308805106837
602,3.57,941.0,24.0,16502.78620930718
603,1.24,563.0,3.0,578.4509833299767
604,1.28,594.0,6.0,773.3030316811275
605,1.39,597.0,9.0,1219.7966515848211
606,1.66,652.0,12.0,2386.039620401448
607,2.08,720.0,15.0,4342.937684322529
608,2.5,788.0,18.0,7208.698502927139
609,2.96,843.0,21.0,10945.308805106837
610,3.57,940.0,24.0,16502.78620930718
611,1.26,579.0,3.0,660.2371120784311
612,1.28,592.0,6.0,769.0618815987814
613,1.39,596.0,9.0,1219.7966515848211
614,2.5,787.0,18.0,7208.698502927139
615,2.96,842.0,21.0,10945.308805106837
616,3.57,939.0,24.0,16502.78620930718
617,4.49,1100.0,27.0,27140.00949485198
618,2.5,786.0,18.0,7208.698502927139
619,2.96,841.0,21.0,10945.308805106837
620,4.49,1100.0,27.0,27140.00949485198
621,1.32,635.0,3.0,941.7761737176363
622,1.27,581.0,6.0,715.3406472223959
623,1.39,594.0,9.0,1219.7966515848211
624,1.66,649.0,12.0,2386.039620401448
625,2.5,785.0,18.0,7208.698502927139
